정책분야,사업명,예산_만원,가중치,가중치_점수
주거,청년농촌보금자리 조성사업,3200,2.0,6400.0
주거,청년 주거급여 분리 지급,1931,1.0,1931.0
주거,청년 월세 한시 특별지원사업,5400,1.5,8100.0
주거,청년 월세 지원사업,1600,1.5,2400.0
주거,청년 주택 임차 보증금 이자 지원,350,1.5,525.0
주거,청년·신혼부부 전세보증금 반환보증 보증료 지원,10,1.5,15.0
주거,신혼부부 주택구입 대출이자 지원사업,10,1.5,15.0
교육,대학생 학자금대출 이자지원사업,60,1.5,90.0
교육,대학입학생 장학금 지원,500,1.5,750.0
교육,대학재학생 장학금 지원,200,1.5,300.0
교육,도립대학 등록금 전액장학금 지급,1550,1.5,2325.0
교육,지역 청년인재 맞춤형 지원체계 구축,70800,2.0,141600.0
교육,스마트공장 ICT 융합형 신규인력양성,387,2.0,774.0
교육,스마트공장 IT전문가 인력양성,395,1.5,592.5
교육,스마트팜 청년농업인 양성,38,2.0,76.0
교육,4-H양성교육,26,1.5,39.0
교육,청년 4-H회원 과제교육지원,90,1.5,135.0
교육,청년농업인 드론 공동방제단 운영 시범,160,1.5,240.0
교육,지역선도대학 육성사업,1550,1.5,2325.0
복지·문화,청년내일저축계좌,9575,1.5,14362.5
복지·문화,지역사회서비스 청년사업단 운영,129,1.5,193.5
복지·문화,청년 마음건강지원사업,405,1.5,607.5
복지·문화,학자금대출 신용회복 지원사업,50,1.5,75.0
복지·문화,청년 거리문화 페스티벌,150,1.0,150.0
복지·문화,청년문화 활성화 공모사업,2000,1.5,3000.0
복지·문화,보호종료아동 자립수당 지급,3595,1.5,5392.5
복지·문화,보호종료아동 자립정착금,1910,1.0,1910.0
복지·문화,보호종료아동 맞춤형 자립지원사업,485,1.5,727.5
복지·문화,보호종료아동 대학생활안정자금 지원,246,1.5,369.0
복지·문화,경남웹툰캠퍼스 운영,400,1.5,600.0
복지·문화,경남콘텐츠코리아랩 운영,1690,1.5,2535.0
복지·문화,대통령배 아마추어 e스포츠대회,70,1.0,70.0
복지·문화,경남예술창작센터 운영,80,2.0,160.0
복지·문화,청년 영화교육 지원,100,1.5,150.0
복지·문화,경남청년예술인 발굴 및 파견 지원사업,100,1.5,150.0
복지·문화,문화예술교육사 현장 역량강화 사업,170,2.0,340.0
복지·문화,청년 아시아 미술제,20,1.0,20.0
복지·문화,통영청년 아트페스티벌,20,1.0,20.0
복지·문화,한여름의 할로윈 파티(추가),20,1.5,30.0
복지·문화,경남 청년 예술 시장 지원,7,1.5,10.5
복지·문화,유휴공간 활용 청년예술인 문화창작공간 조성,300,2.0,600.0
복지·문화,해양레저스포츠 교육프로그램,140,1.5,210.0
복지·문화,경남에서 한 달 여행하기,234,0.5,117.0
복지·문화,지역축제 청년기획단 운영,20,2.0,40.0
복지·문화,경남도 청년 대중교통비 지원 사업,0,1.5,0.0
참여·권리,청년정책네트워크 운영,170,1.5,255.0
참여·권리,경남청년주간 운영,150,1.5,225.0
참여·권리,경남청년정책대전(주민참여)(신규),50,1.5,75.0
참여·권리,도내 대학생 청년 교류회(신규),50,1.5,75.0
참여·권리,청년친화도시 조성,2000,2.0,4000.0
참여·권리,청년 거점공간 조성 사업,2000,2.0,4000.0
참여·권리,청년 지역살이 프로그램 지원 사업,218,1.5,327.0
참여·권리,청년공동체 활성화 사업,100,1.5,150.0
참여·권리,청년 지역 가치 창출가 육성 지원,450,1.5,675.0
참여·권리,청년 정보플랫폼 운영,0,2.0,0.0
참여·권리,청년정책 홍보,42,1.5,63.0
참여·권리,경상남도 청년정책 로드맵 수립,100,1.5,150.0
참여·권리,경남 청년 정책 학교(주민참여),100,1.5,150.0
참여·권리,경상남도 청년정책 조정위원회 운영,15,1.5,22.5
참여·권리,청년 양성평등 인식개선 사업,15,1.0,15.0
참여·권리,청년어업인 육성 및 지원 (청년어촌정책수립 워크숍 개최 및 정책개발서발간),43,1.5,64.5
